"id";"Город дистрибьютора";"Торг_точка_грязная";"Торг_точка_грязная_адрес";"outlet_clean_id"
2090;"Ростов-на-Дону";"ДЕРГУНОВ Л.К. ИП";"-";0
2091;"Ростов-на-Дону";"ДЕРГУНОВ Л.К. ИП";"г.Ростов-на-Дону пр-кт Космонавтов 41 В";0
2092;"Ростов-на-Дону";"ДЕРГУНОВ Л.К. ИП";"г.Ростов-на-Дону пр-кт Космонавтов 41 В";0
2093;"Ростов-на-Дону";"ДЕРГУНОВ Л.К. ИП/БОНУС";"-";0
2094;"Ростов-на-Дону";"ДЕРКАЧ";"-";0
2095;"Ростов-на-Дону";"ДЕРКАЧ В. А. ИП \маг.№17";"-";0
2096;"Ростов-на-Дону";"ДЕРКАЧ В. А. ИП \маг.№17";"353600, Краснодарский край, ст.Староминская, ул. Привокзальная, 130";0
2097;"Ростов-на-Дону";"ДЕРЯБИН ИП";"-";0
2098;"Ростов-на-Дону";"ДЕРЯБИН ИП";"г. Ростов-на-Дону, ул. Селиванова, д. 68в";0
2099;"Ростов-на-Дону";"ДЖАНГАР ООО";"-";0
2100;"Ростов-на-Дону";"ДЖАФАРОВ А.C. ИП\Луначарского";"г.Батайск ул.Луначарского 70 А/Комсомольская";0
2101;"Ростов-на-Дону";"ДЖАФАРОВ А.С. ИП";"-";0
2102;"Ростов-на-Дону";"ДЖАФАРОВ А.С. ИП\Воровского";"-";0
2103;"Ростов-на-Дону";"ДЖАФАРОВ А С ИП\Воровского";"г Батайск ул Воровского 61";0
2104;"Ростов-на-Дону";"ДЖАФАРОВ А.С. ИП\Воровского";"г.Батайск ул.Воровского 61";0
2105;"Ростов-на-Дону";"ДЖАФАРОВ А.С. ИП\Воровского";"г.Батайск ул.Воровского 61";0
2106;"Ростов-на-Дону";"ДЖИМБЕЕВА Т. М. ИП";"-";0
2107;"Ростов-на-Дону";"ДЖИНИБАЛАЯН И.М. ИП";"-";0
2108;"Ростов-на-Дону";"ДЖУМАКОВ Ю. Б ИП";"-";0
2109;"Ростов-на-Дону";"ДЖУМАКОВА Г З ИП \2 быв Восточное";"г Новочеркасск Харьковское шоссе 4б";0
2110;"Ростов-на-Дону";"ДЖУМАКОВА Г. З. ИП";"-";0
2111;"Ростов-на-Дону";"ДЖУМАКОВА Г. З. ИП \2 быв Восточное";"-";0
2112;"Ростов-на-Дону";"ДЖУМАКОВА Г З ИП \Мэтр";"г Новочеркасск ул 26 Бакинских Комисаров 2";0
2113;"Ростов-на-Дону";"ДЖУМАКОВА Г. З. ИП \Мэтр";"-";0
2114;"Ростов-на-Дону";"ДЖУМАКОВА Г. З. ИП \Мэтр";"г.Новочеркасск, ул 26 Бакинских Комисаров 2";0
2115;"Ростов-на-Дону";"ДЖУМАКОВА Г. З. ИП\Метр";"г.Новочеркасск ул 26 Бакинских Комисаров 2";0
2116;"Ростов-на-Дону";"ДЖУМАКОВА Г. З. ИП\Метр";"г.Новочеркасск, ул 26 Бакинских Комисаров 2";0
2117;"Ростов-на-Дону";"ДЖУМАКОВА Г. З. ИП\Метр \2";"г.Новочеркасск, Харьковское шоссе, 4б";0
2118;"Ростов-на-Дону";"ДИАНА \М.Жукова";"г Таганрог, ул Маршала Жукова 55";0
2119;"Ростов-на-Дону";"ДИАНКА ООО.";"-";0
2120;"Ростов-на-Дону";"ДИАНКА ООО.";"г.Ростов/Дон ул.Ларина 4";0
2121;"Ростов-на-Дону";"ДИАНКА ООО.";"г.Ростов/Дон ул.Ларина,4";0
2122;"Ростов-на-Дону";"ДИЕТИЧЕСКИЕ ПРОДУКТЫ ЗАО";"г.Ростов-на-Дону ПУШКИНСКАЯ 107";0
2123;"Ростов-на-Дону";"ДИЕТИЧЕСКИЕ ПРОДУКТЫ ООО";"-";0
2124;"Ростов-на-Дону";"ДИЕТИЧЕСКИЕ ПРОДУКТЫ ООО";"г Ростов-на-Дону Пушкинская 107";0
2125;"Ростов-на-Дону";"ДИЕТИЧЕСКИЕ ПРОДУКТЫ ООО";"г.Ростов-на-Дону Пушкинская 107";0
2126;"Ростов-на-Дону";"ДИМИТРЕНКО Л.Г. ИП";"-";0
2127;"Ростов-на-Дону";"ДИМИТРЕНКО Л.Г. ИП";"г.Ростов-на-Дону,ул.Врубовая 36";0
2128;"Ростов-на-Дону";"ДИМИТРЕНКО Л.Г. ИП (Рауф)";"-";0
2129;"Ростов-на-Дону";"ДИМИТРЕНКО Л.Г. ИП \2\";"-";0
2130;"Ростов-на-Дону";"ДИМИТРЕНКО Л.Г. ИП (Армен)";"-";0
2131;"Ростов-на-Дону";"ДИМИТРЕНКО Л.Г. ИП (Маша)";"г.Ростов-на-Дону,ул.Врубовая 36";0
2132;"Ростов-на-Дону";"ДИМИТРЕНКО Л.Г. ИП (Рауф)";"г.Ростов-на-Дону ул.Врубовая 36";0
2133;"Ростов-на-Дону";"ДИМИТРЕНКО Л.Г. ИП (Рауф)";"г.Ростов-на-Дону,ул.Врубовая 36";0
2134;"Ростов-на-Дону";"ДИНАР ООО";"г.Ростов-на-Дону ул. Стабильная 9";0
2135;"Ростов-на-Дону";"ДИОНИС ООО \Азов, Петровский\";"-";0
2136;"Ростов-на-Дону";"ДОБРИКОВА Ю.В. ИП";"-";0
2137;"Ростов-на-Дону";"ДОВЖЕНКО В. В. ИП";"ст. Старощербиновская, ул. Радищева, 38";0
2138;"Ростов-на-Дону";"ДОКАРС ООО / Заводская";"-";0
2139;"Ростов-на-Дону";"ДОКАРС ООО / Заводская";"г.Батайск ул.Заводская 50/ Энгельса";0
2140;"Ростов-на-Дону";"ДОКАРС ООО / Заводская";"г Батайск ул Заводская 50/ Энгельса";0
2141;"Ростов-на-Дону";"ДОКАРС ООО / Заводская";"г.Батайск ул.Заводская 50/ Энгельса";0
2142;"Ростов-на-Дону";"ДОКАРС ООО / Энгельса";"г.Батайск ул.Энгельса 422";0
2143;"Ростов-на-Дону";"ДОКАРС ООО / Энгельса";"г.Батайск ул.Энгельса 422";0
2144;"Ростов-на-Дону";"ДОКАРС ООО/Бонус Энгельса";"-";0
2145;"Ростов-на-Дону";"ДОЛГОВ А. Г. ИП";"-";0
2146;"Ростов-на-Дону";"ДОЛГОПОЛОВ В.Л. ИП";"г.Новороссийск ул.Вруцкого 42";0
2147;"Ростов-на-Дону";"ДОЛГОПОЛОВ В.Л. ИП";"г.Новороссийск ул.Вруцкого 42";0
2148;"Ростов-на-Дону";"ДОН 5-я ЛИНИЯ 2 /бонус";"-";0
2149;"Ростов-на-Дону";"ДОН ООО \Мичуринская";"г Ростов-на-Дону ул Мичуринская 102а/31а";0
2150;"Ростов-на-Дону";"ДОН ООО \Мичуринская";"г.Ростов-на-Дону ул.Мичуринская 102а/31а";0
2151;"Ростов-на-Дону";"ДОН ООО \Мичуринская";"-";0
2152;"Ростов-на-Дону";"ДОН ООО/ 5-я линия 2";"г.Ростов-на-Дону ул. 5-я линия 2";0
2153;"Ростов-на-Дону";"ДОН ООО/ 5-я линия 2";"г.Ростов-на-Дону, ул. 5-я линия 2";0
2154;"Ростов-на-Дону";"ДОРОШЕНКО ИП";"-";0
2155;"Ростов-на-Дону";"ДОРОШЕНКО ИП";"г.Ростов-на-Дону ул.Вятская 47/1 пав. №33";0
2156;"Ростов-на-Дону";"ДОРОШЕНКО ИП";"г Ростов-на-Дону ул Вятская 47/1 пав №33";0
2157;"Ростов-на-Дону";"ДОРОШЕНКО ИП";"г.Ростов-на-Дону ул.Вятская 47/1 пав. №33";0
2158;"Ростов-на-Дону";"ДОРОШЕНКО А. В. ИП";"-";0
2159;"Ростов-на-Дону";"ДОРОШЕНКО А. В. ИП";"г.Новороссийск,ул.Героев Десантников, д.2 (Южн. р-к), пав 2, место 24";0
2160;"Ростов-на-Дону";"ДОРОШЕНКО А.Е. ИП \Ерёменко";"г.Ростов-на-Дону пр.Соколова 62";0
2161;"Ростов-на-Дону";"ДОРОШЕНКО И И ИП";"Азовский р-н с Займообрыв ул Морская 106";0
2162;"Ростов-на-Дону";"ДОРОШЕНКО И.И. ИП";"Азовский р-н с.Займообрыв ул.Морская 106";0
2163;"Ростов-на-Дону";"ДОРОШЕНКО И.И. ИП";"-";0
2164;"Ростов-на-Дону";"ДОРОШЕНКО ИП 5 \Эдем\";"с.Займообрыв ресторан ""Эдем""";0
2165;"Ростов-на-Дону";"ДОРОШЕНКО ИП 5 \Эдем\";"с.Займообрыв, ресторан ""Эдем""";0
2166;"Ростов-на-Дону";"ДОХОД ООО";"-";0
2167;"Ростов-на-Дону";"ДП ЗАОмясоптицекомбинат Пушк /бонус";"-";0
2168;"Ростов-на-Дону";"ДП ООО Торговый дом ЗАОмясоптицекомбинат Каневской";"353720РФКрас-кий кр Каневской р ст Стародеревянковская Комсомольская31";0
2169;"Ростов-на-Дону";"ДП ООО Торговый дом ЗАОмясоптицекомбинат Каневской";"353720РФКрас-кий кр Каневской р ст.Стародеревянковская Комсомольская31";0
2170;"Ростов-на-Дону";"ДП ООО Торговый дом ЗАОмясоптицекомбинат Каневской";"-";0
2171;"Ростов-на-Дону";"ДП ООО Торговый дом ЗАОмясоптицекомбинат КаневскХл";"-";0
2172;"Ростов-на-Дону";"ДП ООО Торговый дом ЗАОмясоптицекомбинат КаневскХл";"353720РФКрас-кий кр Каневской р ст.Стародеревянковская Комсомольская31";0
2173;"Ростов-на-Дону";"ДП ООО Торговый домЗАОмясоптицекомбинатКаневской К";"-";0
2174;"Ростов-на-Дону";"ДП ООО Торговый домЗАОмясоптицекомбинатКаневской К";"353720РФКрас-кий кр Каневской р ст Стародеревянковская Комсомольская31";0
2175;"Ростов-на-Дону";"ДП ООО Торговый домЗАОмясоптицекомбинатКаневской П";"353720РФКрас-кий кр Каневской р ст Стародеревянковская Комсомольская31";0
2176;"Ростов-на-Дону";"ДП ООО Торговый домЗАОмясоптицекомбинатКаневской П";"353720РФКрас-кий кр Каневской р ст.Стародеревянковская Комсомольская31";0
2177;"Ростов-на-Дону";"ДРАШКО ИП";"-";0
2178;"Ростов-на-Дону";"ДРАШКО ИП";"г. Азов пер. Красноармейский 58";0
2179;"Ростов-на-Дону";"ДРАШКО ИП";"г. Азов, пер. Красноармейский, 58";0
2180;"Ростов-на-Дону";"ДРОБЫШЕВ А.И. ИП";"-";0
2181;"Ростов-на-Дону";"ДРОЗДОВА В.В. ИП";"г.Батайск ул.Крупской 27";0
2182;"Ростов-на-Дону";"ДРЫГИНА Г. А. ИП";"350080 Краснодарский край Краснодар г Уральская ул 95";0
2183;"Ростов-на-Дону";"ДУБАТОВА-Т ООО";"г.Ростов-на-Дону пер.Гарнизонный 3";0
2184;"Ростов-на-Дону";"ДУБАТОВА-Т ООО\Крас";"г Ростов-на-Дону ул Красноармейская 266/57";0
2185;"Ростов-на-Дону";"ДУБИНИНА В. / офис";"-";0
2186;"Ростов-на-Дону";"ДУБОВЕЦ Е. Ю. ИП";"-";0
2187;"Ростов-на-Дону";"ДУБОВИК Е. А. ИП";"-";0
2188;"Ростов-на-Дону";"ДУБОВИК Е. А. ИП";"г Ростов-на-Дону, ул.1-ой Конной Армии 37 В.оф 4";0
2189;"Ростов-на-Дону";"ДУБОВИК ИП";"-";0
2190;"Ростов-на-Дону";"ДУБРАВА ООО";"-";0
2191;"Ростов-на-Дону";"ДУБРАВА ООО /бонус";"-";0
2192;"Ростов-на-Дону";"ДУДАКОВА ИП\Лермонтовская 71/104";"-";0
2193;"Ростов-на-Дону";"ДУДАКОВА ИП\Лермонтовская 71/104";"г Ростов-на-Дону ул Лермоновская 71/104";0
2194;"Ростов-на-Дону";"ДУДАКОВА ИП\Лермонтовская 71/104";"г. Ростов-на-Дону ул. Лермоновская 71/104";0
2195;"Ростов-на-Дону";"ДУДАКОВА ИП\Лермонтовская 71/104";"г. Ростов-на-Дону, ул. Лермоновская 71/104";0
2196;"Ростов-на-Дону";"ДУДАКОВА ИП\Лермонтовская 71/104";"г. Ростов-на-Дону, ул. Лермонтовская 71/104";0
2197;"Ростов-на-Дону";"ДУДАКОВА ИП\Орбит.74\";"г.Ростов\н\Д.ул.Орбитальная 74";0
2198;"Ростов-на-Дону";"ДУДАКОВА ИП\Орбит 76\";"г Ростов-на-Дону ул Орбитальная 76";0
2199;"Ростов-на-Дону";"ДУДАКОВА ИП\Орбит.76\";"г.Ростов-на-Дону ул. Орбитальная 76";0
2200;"Ростов-на-Дону";"ДУДАКОВА ИП\Орбит.78\";"г.Ростов-на-Дону ул. Орбитальная 78";0
2201;"Ростов-на-Дону";"ДУДАКОВА ИП\Орбит.76\";"-";0
2202;"Ростов-на-Дону";"ДУДАКОВА ПБОЮЛ /бонус";"-";0
2203;"Ростов-на-Дону";"ДУДАКОВА ПБОЮЛ/Орбит. 76";"-";0
2204;"Ростов-на-Дону";"ДУДАНОВА Н.В. ИП";"-";0
2205;"Ростов-на-Дону";"ДУДАНОВА Н.В. ИП";"Темрюкский р-н х.Белый пер.Садовый 10";0
2206;"Ростов-на-Дону";"ДУДНИК В.В. ИП";"с.Самарское, ул. К.Маркса 93";0
2207;"Ростов-на-Дону";"ДУЭТ ООО \маг. №18";"353600 Краснодарский край ст.Староминская ул.Толстого 2 Ж";0
2208;"Ростов-на-Дону";"ДУЭТ ООО \маг. №18";"353600, Краснодарский край, ст.Староминская, ул.Толстого, 2 Ж";0
2209;"Ростов-на-Дону";"ДУЭТ ООО\маг 3";"Краснодарский кр ст Староминская ул Мира-Калинина";0
2210;"Ростов-на-Дону";"ДЮНА ООО \Гулаева-Толп\";"г.Аксай ул.Гулаева/Толпинского 98";0
2211;"Ростов-на-Дону";"ЕВСЕЕВ В Е ИП\Энгельса";"г Белая Калитва ул Энгельса 21";0
2212;"Ростов-на-Дону";"ЕВСЕЕВ В.Е ИП\Энгельса";"-";0
2213;"Ростов-на-Дону";"ЕВСЕЕВ В.Е ИП\Энгельса";"г Белая Калитва ул Энгельса 21";0
2214;"Ростов-на-Дону";"ЕВСЕЕВ В.Е ИП\Энгельса \ бонус";"-";0
2215;"Ростов-на-Дону";"ЕГИШЯН З. С. ИП";"-";0
2216;"Ростов-на-Дону";"ЕГОРОВ В.М. ИП";"-";0
2217;"Ростов-на-Дону";"ЕГОРОВА И В ИП";"г Геленджик ул Новороссийская 158";0
2218;"Ростов-на-Дону";"ЕГОРЯН У А ИП";"Аксайский р-н Садовое тов Дружба";0
2219;"Ростов-на-Дону";"ЕГОРЯН У. А. ИП \2\";"-";0
2220;"Ростов-на-Дону";"ЕГОРЯН У. А. ИП";"-";0
2221;"Ростов-на-Дону";"ЕДИНСТВО ООО";"г. Ростов-на-Дону ул.Симферопольская 66/2";0
2222;"Ростов-на-Дону";"ЕДИНСТВО ООО";"г. Ростов-на-Дону, ул.Симферопольская 66/2";0
2223;"Ростов-на-Дону";"ЕДОША РОСТОВ-НА-ДОНУ ЗАО";"-";0
2224;"Ростов-на-Дону";"ЕЛЕНА ООО /бонус Вятская";"-";0
2225;"Ростов-на-Дону";"ЕЛЕНА ООО \Вятская";"г. Ростов-на-Дону ул. Вятская 45";0
2226;"Ростов-на-Дону";"ЕЛЕНА ООО \Вятская";"г. Ростов-на-Дону, ул. Вятская, 45";0
2227;"Ростов-на-Дону";"ЕЛЕНА ООО \Днепровская";"г. Ростов-на-Дону, ул. Днепровская, 5";0
2228;"Ростов-на-Дону";"ЕЛЕНА ООО \Казахская\";"-";0
2229;"Ростов-на-Дону";"ЕЛЕНА ООО \Казахская\";"г Ростов-на-Дону ул Казахская 69/Б";0
2230;"Ростов-на-Дону";"ЕЛЕНА ООО \Казахская\";"г.Ростов-на-Дону ул. Казахская 69/Б";0
2231;"Ростов-на-Дону";"ЕЛЕНА ООО \Казахская\";"г.Ростов-на-Дону,, ул. Казахская, 69/Б";0
2232;"Ростов-на-Дону";"ЕЛЕНА ООО \Подъездная";"-";0
2233;"Ростов-на-Дону";"ЕЛЕНА ООО \Космонавтов\";"-";0
2234;"Ростов-на-Дону";"ЕЛЕНА ООО \Подъездная";"г Ростов-на-Дону ул Подъездная 53";0
2235;"Ростов-на-Дону";"ЕЛЕНА ООО \Подъездная";"г.Ростов-на-Дону ул.Подъездная 53";0
2236;"Ростов-на-Дону";"ЕЛЕНА ООО\Нансена";"-";0
2237;"Ростов-на-Дону";"ЕЛИЗАВЕТА ООО";"-";0
2238;"Ростов-на-Дону";"ЕЛИЗАВЕТА ООО";"г Ростов-на-Дону ул Лермонтовская 90";0
2239;"Ростов-на-Дону";"ЕЛИЗАВЕТА ООО";"г.Ростов-на-Дону ул.Лермонтовская 90";0
2240;"Ростов-на-Дону";"ЕЛЮТИНА В.Н. ИП";"-";0
2241;"Ростов-на-Дону";"ЕРГАНОВ Л. Г. ИП";"-";0
2242;"Ростов-на-Дону";"ЕРЕМЕЕВА Н. В. ИП";"-";0
2243;"Ростов-на-Дону";"ЕРМОЛОВА Л.А. ИП";"г.Таганрог ул.Большой проспект 40 кв15";0
2244;"Ростов-на-Дону";"ЕСАУЛЕНКО ИП";"-";0
2245;"Ростов-на-Дону";"ЖАЙВОРОНОК";"-";0
2246;"Ростов-на-Дону";"ЖАЙВОРОНОК";"б/а";0
2247;"Ростов-на-Дону";"ЖАР-ПТИЦА ООО";"-";0
2248;"Ростов-на-Дону";"ЖАСМИН ООО\Казбекская";"-";0
2249;"Ростов-на-Дону";"ЖАСМИН ООО\Казбекская";"г Краснодар,ул Казбекская 14,маг Кантри";0
2250;"Ростов-на-Дону";"ЖДАНОВА В.В. ИП \Ленина\";"-";0
2251;"Ростов-на-Дону";"ЖДАНОВА В.В. ИП \Ленина\";"г.Новороссийск, пр. Ленина, 109";0
2252;"Ростов-на-Дону";"ЖДАНОВА В.В. ИП \Ленина\";"г.Новороссийск пр. Ленина 109";0
2253;"Ростов-на-Дону";"ЖДАНОВА В.В. ИП";"-";0
2254;"Ростов-на-Дону";"ЖЕЛЕЗНЯК А.В. ИП";"-";0
2255;"Ростов-на-Дону";"ЖЕЛЕЗНЯК А.В. ИП";"-";0
2256;"Ростов-на-Дону";"ЖЕЛТУХИН АЛЕКСЕЙ водитель";"-";0
2257;"Ростов-на-Дону";"ЖЕЛТУХИН АЛЕКСЕЙ водитель";"-";0
2258;"Ростов-на-Дону";"ЖЕЛТУХИН АРТУР";"-";0
2259;"Ростов-на-Дону";"ЖИДКОВ Д.В.";"-";0
2260;"Ростов-на-Дону";"ЖИДКОВ Д.В/бонус";"-";0
2261;"Ростов-на-Дону";"ЖИЛИЩНЫЙ ВОПРОС ООО";"г Ростов-на-Дону ул Дебальцевская 3";0
2262;"Ростов-на-Дону";"ЖИЛИЩНЫЙ ВОПРОС ООО";"г. Ростов-на-Дону ул. Дебальцевская 3";0
2263;"Ростов-на-Дону";"ЖИЛИЩНЫЙ ВОПРОС ООО";"г. Ростов-на-Дону, ул. Дебальцевская, 3";0
2264;"Ростов-на-Дону";"ЖИЛИЩНЫЙ ВОПРОС ООО";"-";0
2265;"Ростов-на-Дону";"ЖИЛИЩНЫЙ ВОПРОС ООО / бонус";"-";0
2266;"Ростов-на-Дону";"ЖИРОВА И В ИП";"г Аксай ул Коминтерна д 139 б";0
2267;"Ростов-на-Дону";"ЖИРОВА И. В. ИП";"-";0
2268;"Ростов-на-Дону";"ЖИРОВА И. В. ИП";"г. Аксай ул. Коминтерна д. 139 б";0
2269;"Ростов-на-Дону";"ЖИРОВА И. В. ИП";"г. Аксай, ул. Коминтерна, д. 139 б";0
2270;"Ростов-на-Дону";"ЖИТНИКОВ ИП /Левенцовка бонус";"-";0
2271;"Ростов-на-Дону";"ЖИТНИКОВ ИП \Доватора";"г.Ростов-на-Дону, ул.Доватора 140 а";0
2272;"Ростов-на-Дону";"ЖИТНИКОВ ИП \Доватора";"г Ростов-на-Дону ул Доватора 140 а";0
2273;"Ростов-на-Дону";"ЖИТНИКОВ ИП \Доватора";"г.Ростов-на-Дону ул.Доватора 140 а";0
2274;"Ростов-на-Дону";"ЖИТНИКОВ ИП \Левенцовка\";"-";0
2275;"Ростов-на-Дону";"ЖИТНИКОВ ИП \Левенцовка\";"г.Ростов-на-Дону, ул. Маршала Жукова, 30/95";0
2276;"Ростов-на-Дону";"ЖИТНИКОВ ИП \Левенцовка\";"г.Ростов-на-Дону ул. Маршала Жукова 30/95";0
2277;"Ростов-на-Дону";"ЖИТНИКОВ ИП \Ленина-Профинтерна\";"г Ростов - на - Дону ул Профинтерна 11 б";0
2278;"Ростов-на-Дону";"ЖИТНИКОВ ИП \Ленина-Профинтерна\";"г. Ростов - на - Дону ул Профинтерна 11 б";0
2279;"Ростов-на-Дону";"ЖИТНИКОВ ИП \Ленина\";"г. Ростов - на - Дону ул Профинтерна 11 б";0
2280;"Ростов-на-Дону";"ЖИТНИКОВ ИП/ бонус Ленина";"-";0
2281;"Ростов-на-Дону";"ЖИХАРЕВА С Е ИП \Тупалева Молоко\";"г Ростов-на-Дону ул Тупалева 9а";0
2282;"Ростов-на-Дону";"ЖИХАРЕВА С. Е. ИП \Тупалева Молоко\";"г.Ростов-на-Дону, ул.Тупалева 9а";0
2283;"Ростов-на-Дону";"ЖИХАРЕВА С.Е. ИП\ Курчатова";"-";0
2284;"Ростов-на-Дону";"ЖИХАРЕВА С Е ИП\ Курчатова";"г Ростов-на-Дону ул Курчатова 60";0
2285;"Ростов-на-Дону";"ЖИХАРЕВА С.Е. ИП\ Курчатова";"г.Ростов-на-Дону ул. Курчатова 60";0
2286;"Ростов-на-Дону";"ЖИХАРЕВА С.Е. ИП\ Курчатова";"г.Ростов-на-Дону, ул. Курчатова 60";0
2287;"Ростов-на-Дону";"ЖИХАРЕВА С.Е. ИП\ Курчатова Молоко";"г.Ростов-на-Дону, ул. Курчатова 60";0
2288;"Ростов-на-Дону";"ЖИХАРЕВА С.Е. ИП\ Тупалева";"г.Ростов-на-Дону ул.Тупалева 9а";0
2289;"Ростов-на-Дону";"ЖИХАРЕВА С.Е. ИП\ Тупалева";"г.Ростов-на-Дону, ул.Тупалева 9а";0
2290;"Ростов-на-Дону";"ЖОВНИЦКИЙ О В ИП";"г Азов ул Инзенская 3 Г";0
2291;"Ростов-на-Дону";"ЖОВНИЦКИЙ О.В. ИП";"-";0
2292;"Ростов-на-Дону";"ЖОВНИЦКИЙ О.В. ИП";"г.Азов ул.Инзенская 3 Г";0
2293;"Ростов-на-Дону";"ЖТК ОАО";"-";0
2294;"Ростов-на-Дону";"ЖТК ОАО";"107228 г Москва ул Новорязанская дом № 12";0
2295;"Ростов-на-Дону";"ЖТК ОАО";"107228 г.Москва ул.Новорязанская дом № 12";0
2296;"Ростов-на-Дону";"ЖТК ОАО";"107228, г.Москва, ул.Новорязанская,дом № 12";0
2297;"Ростов-на-Дону";"ЖТК ОАО \бонус\";"-";0
2298;"Ростов-на-Дону";"ЖУКОВ А. Г. ИП \м-н Семейный\";"-";0
2299;"Ростов-на-Дону";"ЖУРАВЛЕВ В. А. ИП";"г.Ростов-на-Дону, (Рост.Море), Грациозная, 2А";0
2300;"Ростов-на-Дону";"ЖУРАВЛЕВ Г.Н ИП";"-";0
2301;"Ростов-на-Дону";"ЗАБОЛОТНЫЙ И. Н. ИП";"-";0
2302;"Ростов-на-Дону";"ЗАБОЛОТНЫЙ И. Н. ИП";"г.Новороссийск ул. Сакко и Ванцетти 13 кв. 39";0
2303;"Ростов-на-Дону";"ЗАВАН ООО \МалосадоваяСтарочеркасск";"-";0
2304;"Ростов-на-Дону";"ЗАВАН ООО \Платова 70 Маяк";"Рост.обл., г.Аксай, ул.Платова 70";0
2305;"Ростов-на-Дону";"ЗАВАН ООО \Садовая 2";"-";0
2306;"Ростов-на-Дону";"ЗАВАН ООО \Садовая 2";"г. Аксай ул. Садовая 2";0
2307;"Ростов-на-Дону";"ЗАВАН ООО \Садовая, 12";"-";0
2308;"Ростов-на-Дону";"ЗАВАН ООО \Садовая, 12";"г.Аксай. ул .Садовая, 12";0
2309;"Ростов-на-Дону";"ЗАВАН ООО \Садовая, 26";"-";0
2310;"Ростов-на-Дону";"ЗАВАН ООО \Садовая, 26";"г.Аксай, ул.Садовая, 26";0
2311;"Ростов-на-Дону";"ЗаВаН ООО\ Малосадовая";"-";0
2312;"Ростов-на-Дону";"ЗаВаН ООО\ МалосадоваяСтарочеркасск";"-";0
2313;"Ростов-на-Дону";"ЗаВаН ООО\(садовая)";"г Аксай ул Садовая 2";0
2314;"Ростов-на-Дону";"ЗаВаН ООО\(садовая)";"г. Аксай ул. Садовая 2";0
2315;"Ростов-на-Дону";"ЗАВАН ООО \Ленина";"-";0
2316;"Ростов-на-Дону";"ЗАВАН ООО\Ленина";"г Аксай пр Ленина 35";0
2317;"Ростов-на-Дону";"ЗАВАН ООО\Ленина";"г.Аксай пр.Ленина 35";0
2318;"Ростов-на-Дону";"ЗАВАН ООО \Платова 70 Маяк";"-";0
2319;"Ростов-на-Дону";"ЗАВАН ООО\м-н Маяк Платова 70";"-";0
2320;"Ростов-на-Дону";"ЗАВАН ООО\МАГАЗИН МАЯК";"Рост обл г Аксай ул Платова 70";0
2321;"Ростов-на-Дону";"ЗАВАН ООО\МАГАЗИН МАЯК";"Рост.обл. г.Аксай ул.Платова 70";0
2322;"Ростов-на-Дону";"ЗАВАН ООО\МАГАЗИН МАЯК";"Рост.обл., г.Аксай, ул.Платова 70";0
2323;"Ростов-на-Дону";"ЗАВРАЖНЫЙ О А ИП \2\";"г Ростов-на-Дону ул 1-я Конная 1";0
2324;"Ростов-на-Дону";"ЗАВРАЖНЫЙ О.А. ИП \2\";"г.Ростов-на-Дону ул. 1-я Конная 1";0
2325;"Ростов-на-Дону";"ЗАВРАЖНЫЙ О.А. ИП \2\";"г.Ростов-на-Дону, ул. 1-я Конная, 1";0
2326;"Ростов-на-Дону";"ЗАГОРУЛЬКО ИП";"г Батайск угол ул Гастелло/Герцена 32а";0
2327;"Ростов-на-Дону";"ЗАГОРУЛЬКО ИП";"г.Батайск угол ул.Гастелло/Герцена 32а";0
2328;"Ростов-на-Дону";"ЗАДОРОЖНЯЯ О.Ю. ИП";"-";0
2329;"Ростов-на-Дону";"ЗАИНЧУКОВСКАЯ И. В. ИП \Верхнемоск\";"-";0
2330;"Ростов-на-Дону";"Закрома ООО";"-";0
2331;"Ростов-на-Дону";"ЗАКРОМА ООО";"г Ростов-на-Дону пер Жлобинский 21";0
2332;"Ростов-на-Дону";"ЗАКРОМА ООО";"г.Ростов-на-Дону пер.Жлобинский 21";0
2333;"Ростов-на-Дону";"Закрома ООО";"г.Ростов-на-Дону пер.Жлобинский 21";0
2334;"Ростов-на-Дону";"ЗАЛЕССКАЯ Л.И. ИП/м-н Морепродукты";"-";0
2335;"Ростов-на-Дону";"ЗАЛЕССКАЯ Л.И. ИП/Октябрьская";"-";0
2336;"Ростов-на-Дону";"ЗАЛЕССКАЯ Л.И. ИП/Октябрьская";"г.Батайск ул.Октябрьская, 151/3 маг ""Морепродукты""";0
2337;"Ростов-на-Дону";"ЗАЛЕССКАЯ Л.И. ИП/Октябрьская";"г.Батайск ул.Октябрьская 151/3 маг ""Морепродукты""";0
2338;"Ростов-на-Дону";"ЗАЛЕССКАЯ Л.И. ИП бонус\Октябр";"-";0
2339;"Ростов-на-Дону";"ЗАСЫПКА ЕЛЕНА";"-";0
2340;"Ростов-на-Дону";"ЗВЕРЕВА О.П. ИП\ Нагибина";"-";0
2341;"Ростов-на-Дону";"ЗВЕРЕВА О.П. ИП\ Ленина";"-";0
2342;"Ростов-на-Дону";"ЗВЕРЕВА О П ИП\ Нагибина";"г Ростов-на-Дону ул Нагибина 57";0
2343;"Ростов-на-Дону";"ЗВЕРЕВА О.П. ИП\ Нагибина";"г.Ростов-на-Дону ул.Нагибина 57";0
2344;"Ростов-на-Дону";"ЗВЕРЕВА О.П. ИП\ Нагибина \ бонус";"-";0
